stop_id,stop_name,stop_lat,stop_lon
КМЕТСТВО ИВАНЯНЕ,960,42.707821,23.182964
КМЕТСТВО ЛОЗЕН,961,42.601733,23.486951
КОКАЛЯНСКО ХАНЧЕ,962,42.582872,23.424051
КОКАЛЯНСКО ХАНЧЕ - ПО ЖЕЛАНИЕ,963,42.581815,23.424649
УЛ. СТРАНДЖА,964,42.709933,23.14048
УЛ. СТРАНДЖА,965,42.709959,23.139951
МАХАЛА КОНЬОВИЦА,966,42.695588,23.260104
МАХАЛА КОНЬОВИЦА,967,42.695447,23.259948
ПАЗАРА МЛАДОСТ 1,968,42.651961,23.374519
ПАЗАРА МЛАДОСТ 1,969,42.652798,23.373842
КОРАБЧЕТО,970,42.642455,23.403116
КОРАБЧЕТО,971,42.641923,23.405155
КОРИЯТА,972,42.632895,23.427648
КОРИЯТА,973,42.632689,23.427393
СОФИЯ МЕД АД,974,42.658258,23.415054
СОФИЯ МЕД АД,975,42.65963,23.4151
УЛ. СРЕБЪРНА,976,42.659124,23.326892
УЛ. СРЕБЪРНА,977,42.659443,23.324868
НАЧАЛО С. ЛОКОРСКО,978,42.788092,23.444711
НАЧАЛО С. ЛОКОРСКО,979,42.787985,23.444641
УЛ. МЕЧА ПОЛЯНА - ПО ЖЕЛАНИЕ,980,42.64958,23.246307
УЛ. МЕЧА ПОЛЯНА - ПО ЖЕЛАНИЕ,981,42.649526,23.24547
КРАЯ НА КВ. МИХАЙЛОВО,982,42.685169,23.11975
УЛ. ВРАЧАНСКА,983,42.771964,23.400804
УЛ. ВРАЧАНСКА,984,42.772279,23.400366
КРАЯ С. ЖИТЕН,985,42.821748,23.247783
КРАЯ С. ЖИТЕН,986,42.821542,23.247926
МК КРЕМИКОВЦИ,987,42.743334,23.518604
КУЛИНАРЕН К-Т ПЕЙФИЛ,988,42.638544,23.397191
КУЛИНАРЕН К-Т ПЕЙФИЛ,989,42.638653,23.396916
КУЛИНАРЕН К-Т ПЕЙФИЛ,990,42.638787,23.397438
КУЛИНАРЕН К-Т ПЕЙФИЛ,991,42.63913,23.397817
КУЛТУРЕН ДОМ,992,42.761019,23.562282
КУЛТУРЕН ДОМ,993,42.760978,23.562715
КЪМПИНГ ЧЕРНИЯ КОС - ПО ЖЕЛАНИЕ,994,42.649358,23.213832
КЪМПИНГ ЧЕРНИЯ КОС - ПО ЖЕЛАНИЕ,995,42.648908,23.21173
КЪМПИНГА,996,42.718958,23.176383
КЪМПИНГА,997,42.718793,23.17566
ЛАГЕРА,998,42.511828,23.365018
ЛАГЕРА,999,42.511734,23.364877
УЛ. ЛОКОМОТИВ,1000,42.728987,23.319232
УЛ. ЛОКОМОТИВ,1001,42.728426,23.318662
ЛЕТИЩЕ ДОБРОСЛАВЦИ,1002,42.81323,23.279314
ЛЕТИЩЕ ДОБРОСЛАВЦИ - ПО ЖЕЛАНИЕ,1003,42.818322,23.313708
ЛЕТИЩЕ ДОБРОСЛАВЦИ - ПО ЖЕЛАНИЕ,1004,42.81823,23.313974
ЛЕТИЩЕ ДОБРОСЛАВЦИ,1005,42.813362,23.279438
ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1,1006,42.688867,23.403029
ЛИФТА - ПО ЖЕЛАНИЕ,1007,42.548429,23.361989
ЛИФТА - ПО ЖЕЛАНИЕ,1008,42.547754,23.361049
МАНАСТИР СВ. ЙОАКИМ И АНА - ПО ЖЕЛАНИЕ,1009,42.566275,23.363514
ЛИФТА СИМЕОНОВО,1011,42.617026,23.348909
Ж.К. ДЪРВЕНИЦА,1012,42.650359,23.357877
Ж.К. ДЪРВЕНИЦА,1015,42.651042,23.35892
МЕТРОСТАНЦИЯ ЦАРИГРАДСКО ШОСЕ,1016,42.650296,23.393558
МЕТРОСТАНЦИЯ ЦАРИГРАДСКО ШОСЕ,1017,42.649173,23.393587
МАГАЗИН МЕТРО 2,1019,42.744872,23.229637
МАГАЗИН МЕТРО 2,1020,42.746054,23.228627
МАНАСТИР СВ. МИНА,1021,42.753431,23.361726
МАХАЛА ДЖЮЛНИЦИ,1022,42.767274,23.243745
МАХАЛА ДЖЮЛНИЦИ,1023,42.766465,23.243651
МАХАЛА ИВАНЯНЕ,1024,42.720105,23.182555
МАХАЛА ИВАНЯНЕ - ПО ЖЕЛАНИЕ,1025,42.716419,23.178448
МАХАЛА ИВАНЯНЕ - ПО ЖЕЛАНИЕ,1026,42.716428,23.178944
МАХАЛА ИВАНЯНЕ,1027,42.720145,23.182166
УЛ. ЛЕСКОВЕЦ,1028,42.623112,23.191436
УЛ. ЛЕСКОВЕЦ,1029,42.623032,23.191058
УЛ. МОНТЕВИДЕО,1030,42.695414,23.252062
УЛ. МОНТЕВИДЕО,1031,42.695413,23.252539
МГУ СВ.ИВ.РИЛСКИ,1032,42.661148,23.352007
МГУ СВ.ИВ.РИЛСКИ,1033,42.661126,23.351478
УМБАЛ АЛЕКСАНДРОВСКА,1034,42.686275,23.308272
УМБАЛ АЛЕКСАНДРОВСКА,1035,42.685864,23.306308
СТАДИОНА ГЕРМАН,1037,42.617864,23.417789
МЕЛНИЦАТА ЧЕПИНЦИ,1038,42.750625,23.434773
СТАДИОНА ГЕРМАН,1039,42.617509,23.417433
ПРОМИШЛЕНА ЗОНА - ПО ЖЕЛАНИЕ,1040,42.609382,23.342129
ПРОМИШЛЕНА ЗОНА - ПО ЖЕЛАНИЕ,1041,42.609187,23.342231
МЕТАЛСНАБ ХОЛДИНГ,1042,42.741095,23.32849
МЕТАЛСНАБ ХОЛДИНГ,1043,42.741077,23.328363
МЕТРОСТАНЦИЯ ВАРДАР,1044,42.706964,23.284725
МЕТРОСТАНЦИЯ ВАРДАР,1045,42.706011,23.283804
МЕТРОСТАНЦИЯ ВАРДАР,1046,42.705584,23.284053
МЕТРОСТАНЦИЯ ВАРДАР,1047,42.706737,23.284645
МЕТРОСТАНЦИЯ ЗАПАДЕН ПАРК,1048,42.711069,23.269483
МЕТРОСТАНЦИЯ ЗАПАДЕН ПАРК,1049,42.710938,23.269644
МЕТРОСТАНЦИЯ К. ВЕЛИЧКОВ,1050,42.701787,23.297719
МЕТРОСТАНЦИЯ К. ВЕЛИЧКОВ,1051,42.701443,23.297544
МЕТРОСТАНЦИЯ ЛЮЛИН,1054,42.718376,23.257074
МЕТРОСТАНЦИЯ ЛЮЛИН,1055,42.717964,23.256408
МЕТРОСТАНЦИЯ ЛЮЛИН,1056,42.71799,23.256268
МЕТРОСТАНЦИЯ ЛЮЛИН,1057,42.718507,23.257287
МЕТРОСТАНЦИЯ ОПЪЛЧЕНСКА,1058,42.699662,23.312612
МЕТРОСТАНЦИЯ СЛИВНИЦА,1059,42.72741,23.261056
МЕТРОСТАНЦИЯ СЛИВНИЦА,1060,42.726257,23.262791
МЕТРОСТАНЦИЯ СЛИВНИЦА,1061,42.726368,23.261304
МЕТРОСТАНЦИЯ СЛИВНИЦА,1062,42.727435,23.262737
МЕТРОСТАНЦИЯ СЛИВНИЦА,1063,42.725518,23.261041
УЛ. 503,1064,42.693092,23.380055
УЛ. 503,1065,42.693415,23.379356
МИНАТА,1066,42.832052,23.334123
МИНАТА - ПО ЖЕЛАНИЕ,1067,42.595485,23.364287
МИНАТА - ПО ЖЕЛАНИЕ,1068,42.594427,23.364544
МИНАТА,1069,42.832156,23.333908
МИТНИЦА СУХОДОЛ,1070,42.696858,23.21308
МИТНИЦА СУХОДОЛ,1071,42.697037,23.213222
МЛАДЕЖКИ ТЕАТЪР,1073,42.698077,23.32591
МЛАДЕЖКИ ТЕАТЪР,1074,42.698816,23.326784
ДАНОН СЕРДИКА АД,1075,42.693547,23.29941
МОСТА КВ. ВИТОША,1076,42.655453,23.336322
МОСТА НА ЛЕСНОВСКА РЕКА,1079,42.707263,23.498667
МОСТА НА ЛЕСНОВСКА РЕКА,1080,42.706916,23.500156
МОСТА НА СЕЛСКА РЕКА,1081,42.770003,23.241817
МОСТА НА СЕЛСКА РЕКА,1082,42.770745,23.241503
МОСТА,1083,42.719617,23.087932
МОСТА,1084,42.719511,23.088917
МОСТА НА Р. СТУБЕЛА,1085,42.695938,23.239485
МОСТА НА Р. СТУБЕЛА,1086,42.695835,23.24003
МОСТА КВ. ВИТОША,1087,42.654828,23.33608
МОСТА ДОЛНИ ПАСАРЕЛ,1088,42.538442,23.499842
МОСТА ДОЛНИ ПАСАРЕЛ,1089,42.538659,23.499888
МОСТА ЗА РЕЗИДЕНЦИЯ ВРАНА,1090,42.636486,23.421073
МОСТА ЗА РЕЗИДЕНЦИЯ ВРАНА,1091,42.636923,23.420093
МОСТА КВ.ВРАЖДЕБНА,1092,42.711821,23.408126
МОСТА КВ.ВРАЖДЕБНА,1093,42.711907,23.407905
МОСТА НА ВЛАДАЙСКА РЕКА,1094,42.716676,23.35193
МОСТА НА ВЛАДАЙСКА РЕКА,1095,42.716404,23.352347
МОСТА НА Р. ИСКЪР КВ. АБДОВИЦА,1096,42.665213,23.422038
МОСТА НА Р. ИСКЪР,1097,42.708782,23.41904
МОСТА НА Р. ИСКЪР,1098,42.7091,23.41836
МОСТА НА Р. ИСКЪР,1099,42.736744,23.395389
МОСТА НА Р. ИСКЪР,1100,42.736815,23.39572
МОСТА НА Р. ИСКЪР КВ. АБДОВИЦА,1101,42.665419,23.422115
МОСТА ЧАВДАР,1102,42.700468,23.346046
МОСТА ЧАВДАР,1103,42.70049,23.34548
МОТЕЛ БЕЛИ БРЕЗИ - ПО ЖЕЛАНИЕ,1104,42.524899,23.364921
МОТЕЛ БЕЛИ БРЕЗИ - ПО ЖЕЛАНИЕ,1105,42.52509,23.366118
МОТЕЛ БОЖУР,1106,42.746825,23.22587
БЛ. 703 Ж.К. ЛЮЛИН-7,1107,42.709981,23.265114
БЛ. 703 Ж.К. ЛЮЛИН-7,1108,42.710012,23.265953
СТЦ ИНТЕРПРЕД,1109,42.670775,23.351571
СТЦ ИНТЕРПРЕД,1112,42.669299,23.352538
НАДЛЕЗ НАДЕЖДА,1113,42.714657,23.310995
НАДЛЕЗ НАДЕЖДА,1114,42.714862,23.311862
НАЦИОНАЛНА ОПЕРА,1115,42.69829,23.330959
НАЦИОНАЛНА ОПЕРА,1116,42.698304,23.330627
НАЧАЛО С. БИСТРИЦА - ПО ЖЕЛАНИЕ,1117,42.590267,23.364594
НАЧАЛО С. БИСТРИЦА,1118,42.5904,23.364732
НАЧАЛО КВ. ГРАДОМАН,1119,42.689296,23.142593
НАЧАЛО КВ. ГРАДОМАН,1120,42.689388,23.142595
НАЧАЛО С.ДОЛНИ ЛОЗЕН,1121,42.607969,23.497517
УЛ. МИНЗУХАР,1122,42.815064,23.253161
УЛ. МИНЗУХАР,1123,42.815269,23.253102
НАЧАЛО КВ. ГНИЛЯНЕ,1124,42.805216,23.378422
НАЧАЛО КВ. ГНИЛЯНЕ,1125,42.805204,23.378321
НАЧАЛО КВ. КЛИСУРА,1126,42.72035,23.09669
НАЧАЛО КВ. КЛИСУРА,1127,42.720396,23.096633
НАЧАЛО С. КЪТИНА,1128,42.84086,23.323836
НАЧАЛО С. КЪТИНА,1129,42.841559,23.323404
НАЧАЛО С. МЪРЧАЕВО,1130,42.611367,23.179755
НАЧАЛО С. МЪРЧАЕВО,1131,42.611189,23.179595
НАЧАЛО С. ПЛАНА,1132,42.479733,23.398505
НАЧАЛО С. ПЛАНА,1133,42.479712,23.398626
НДК,1134,42.685596,23.317273
НДК,1135,42.685841,23.317723
НДК,1136,42.688995,23.319805
НАЦИОНАЛЕН ДВОРЕЦ НА КУЛТУРАТА,1139,42.685932,23.319372
НЕСТЛЕ-СОФИЯ,1140,42.72869,23.258327
НЕСТЛЕ-СОФИЯ,1141,42.729765,23.256824
УЛ. ЗАД СЕЛО,1142,42.683447,23.459044
УЛ. ЗАД СЕЛО,1143,42.683611,23.458679
НОВА ВРАЖДЕБНА,1144,42.691522,23.447745
НОВА ВРАЖДЕБНА,1145,42.691436,23.447752
ГРОБИЩЕН ПАРК МАЛАШЕВЦИ,1146,42.720306,23.362782
ГРОБИЩЕН ПАРК МАЛАШЕВЦИ,1147,42.720307,23.363028
СТРАННОПРИЕМНИЦАТА,1150,42.614366,23.501347
СК ЦСКА,1151,42.674422,23.37524
СК ЦСКА,1152,42.674783,23.376832
СК ЦСКА,1153,42.674968,23.376492
СК ЦСКА,1154,42.675052,23.375814
СК ЦСКА,1155,42.675243,23.375591
УЛ. ГЮЕШЕВО,1156,42.692527,23.295938
УЛ. ГЮЕШЕВО,1157,42.692793,23.295092
УЛ. ГЮЕШЕВО,1158,42.691175,23.295913
МЕТАЛИКА ООД,1159,42.738154,23.516576
МЕТАЛИКА ООД,1160,42.738453,23.516223
117-ТО СОУ,1161,42.757345,23.555667
117-ТО СОУ,1162,42.757576,23.555523
БЛ. 21 Ж.К. ЛЮЛИН-1,1163,42.728846,23.248928
БЛ. 21 Ж.К. ЛЮЛИН-1,1164,42.728371,23.249518
10-ТИ ДКЦ,1165,42.701265,23.292002
10-ТИ ДКЦ,1166,42.701221,23.292517
ОВЧАРСКИ КОШАРИ,1167,42.727814,23.105861
ОВЧАРСКИ КОШАРИ,1168,42.727783,23.10547
ОКОЛОВРЪСТЕН ПЪТ,1169,42.718121,23.232286
КВ. СУХОДОЛ,1170,42.696407,23.23038
ОКОЛОВРЪСТЕН ПЪТ,1171,42.642833,23.312964
ОКОЛОВРЪСТЕН ПЪТ,1172,42.631955,23.333502
КВ. СУХОДОЛ,1173,42.695305,23.230194
ОКОЛОВРЪСТЕН ПЪТ,1174,42.623019,23.405045
ОКОЛОВРЪСТЕН ПЪТ,1175,42.634139,23.333929
ОКОЛОВРЪСТЕН ПЪТ,1176,42.64279,23.312703
ОКОЛОВРЪСТЕН ПЪТ,1177,42.640553,23.312249
ОКОЛОВРЪСТЕН ПЪТ,1178,42.660354,23.265106
ОКОЛОВРЪСТЕН ПЪТ,1179,42.659539,23.264748
ОКОЛОВРЪСТЕН ПЪТ,1180,42.695831,23.230842
ОКОЛОВРЪСТЕН ПЪТ,1181,42.695981,23.229632
ОКОЛОВРЪСТЕН ПЪТ,1182,42.623114,23.405346
ОКОЛОВРЪСТЕН ПЪТ,1183,42.633636,23.443413
ОКОЛОВРЪСТЕН ПЪТ,1184,42.633992,23.443221
ОКОЛОВРЪСТЕН ПЪТ - ПО ЖЕЛАНИЕ,1185,42.779679,23.312986
ОКОЛОВРЪСТЕН ПЪТ - ПО ЖЕЛАНИЕ,1186,42.779106,23.313334
ПРОМИШЛЕНА ЗОНА - ЛОМСКО ШОСЕ,1189,42.754838,23.271954
ПРОМИШЛЕНА ЗОНА - ЛОМСКО ШОСЕ,1190,42.755167,23.271807
ОКОЛОВРЪСТЕН ПЪТ,1191,42.718233,23.232034
УМБАЛ СВ. АННА,1192,42.662102,23.375574
УМБАЛ СВ. АННА,1194,42.662648,23.376438
УМБАЛ СВ. АННА,1195,42.661937,23.375213
УМБАЛ СВ. АННА,1196,42.662763,23.376901
УМБАЛ СВ. АННА-УХО,1197,42.659938,23.374085
УМБАЛ СВ. АННА-УХО,1198,42.660195,23.374089
УЛ. ВРЪХ МАНЧО,1199,42.72151,23.280363
УЛ. ВРЪХ МАНЧО,1200,42.721695,23.281593
УЛ. ВРЪХ МАНЧО,1201,42.722141,23.280705
ОПИТНА СТАНЦИЯ,1202,42.621929,23.451121
ОПИТНА СТАНЦИЯ,1203,42.745009,23.399584
ОПИТНА СТАНЦИЯ,1204,42.744835,23.399626
ОПИТНА СТАНЦИЯ,1205,42.741441,23.404567
